Date,Type,Tag,Sending Wallet,Sent Amount,Sent Currency,Sent Cost Basis,Receiving Wallet,Received Amount,Received Currency,Received Cost Basis,Fee Amount,Fee Currency,Gain (USD),Net Value (USD),Fee Value (USD),TxSrc,TxDest,TxHash,Description
2024-05-28 17:27:50 UTC,crypto_deposit,,,,,,Knox SOl,5.1576728,SOL,862.8436276,,,,862.8436276,,,,2omLGJS1CLmFJVqGkcfRfXq9n9NByZTYBJz6ZuVKgAJejAgZJyjfJemBHcQzTT1MCdfW1KLiCf87WCXxiYJ2Sd1c,
2024-05-28 18:23:38 UTC,crypto_deposit,,,,,,Coinbase,200.0747079,SUI,207.24,,,,207.24,,,,2zUPZ1crEwYezhXpbkGWQUwHBxasYmFxHJHC6SWNXbfw,
2024-05-28 18:24:23 UTC,sell,,Coinbase,202.1,SUI,209.3356304,Coinbase,209.63,USD,,0.31,USD,-0.0156303707,209.63,0.31,,,3f31fca6-ba39-4352-9b8d-72921c4526e5,advanced trade
2024-05-28 18:25:12 UTC,fiat_withdrawal,,Coinbase,209.32,USD,,,,,,,,,209.32,,,,,
2024-05-28 23:23:22 UTC,crypto_deposit,,,,,,Solana (SOL) 9,149394.562,USDC,149394.562,,,,149394.562,,,,36QLHZZkxq7JAxETXL6DmmzFyJGqRWgtoGbY2AKPZfUSbbHkhPzzx9W8rUiK24KkwCRWab6PsdkHPjpEgthpZmou,
2024-05-28 23:23:22 UTC,crypto_deposit,,,,,,Solana (SOL) 9,0.023720444,SOL,4.00801081,,,,4.00801081,,,,36QLHZZkxq7JAxETXL6DmmzFyJGqRWgtoGbY2AKPZfUSbbHkhPzzx9W8rUiK24KkwCRWab6PsdkHPjpEgthpZmou,
2024-05-28 23:24:05 UTC,crypto_deposit,,,,,,Solana (SOL) 9,10822.08232,USDC,10822.08232,,,,10822.08232,,,,4M5Tm2F2xHoSR2KW3ySvPLzJfkoUZMBeRJsUgDXSp8RXLRvSE2ijwnJ5hxPqZWFFDfx9feU3CUJtkcBiYawiPvPV,
2024-05-28 23:24:05 UTC,crypto_deposit,,,,,,Solana (SOL) 9,0.023721166,SOL,4.008132805,,,,4.008132805,,,,4M5Tm2F2xHoSR2KW3ySvPLzJfkoUZMBeRJsUgDXSp8RXLRvSE2ijwnJ5hxPqZWFFDfx9feU3CUJtkcBiYawiPvPV,
2024-05-28 23:24:38 UTC,transfer,From pool,Solana (SOL) 9,73381.48336,KMNO,,Solana (SOL) 9,73381.48336,KMNO,,,,,4288.041301,,,,5YHhRu2eS46Dc71FJNv1HU8G4Zea1L9Dh5ZdeV5sftTZXt6hsHbZ6zd2aUNHPTCUAYKtFjbXK1YFydFyfmxgxN8H,
2024-05-28 23:24:38 UTC,crypto_withdrawal,Cost,Solana (SOL) 9,0.000443954,SOL,0.0757009503,,,,,,,-0.0006866533,0.075014297,,,,5YHhRu2eS46Dc71FJNv1HU8G4Zea1L9Dh5ZdeV5sftTZXt6hsHbZ6zd2aUNHPTCUAYKtFjbXK1YFydFyfmxgxN8H,
